questionId,language,filename,data
7,C,c.c,c.c,"int reverse(int x) {
  int y = 0;
  int n;
  while (x != 0) {
    n = x % 10;
    if (y > INT_MAX / 10 || y < INT_MIN / 10) {
      return 0;
    }
    y = y * 10 + n;
    x /= 10;
  }
  return y;
}"
7,Rust,rust1.rs,rust1.rs,"impl Solution {
  pub fn reverse(x: i32) -> i32 {
    let mut ret = 0i32;
    let mut x_clone = x;
    while x_clone != 0 {
      let i = x_clone % 10;
      let x1 = ret.overflowing_mul(10);
      if x1.1 == true {
        return 0;
      }
      let x2 = x1.0.overflowing_add(i);
      if x2.1 == true {
        return 0;
      }
      ret = x2.0;
      x_clone = x_clone / 10;
    }

    ret
  }
}"
5,C,c.c,c.c,"char *longestPalindrome(char *s) {
  int sz;
  int i, j, k, l;
  int where = 0, len = 0;

  if (!s || !*s) return s;

  sz = strlen(s);

  for (i = 0, j = 0, k = 0; len < (sz - k) * 2; i = k, j = k) {
    while (j + 1 < sz && s[j] == s[j + 1]) {
      j++; // skip all repeating characters
    }
    k = j + 1; // where to start next try
    while (i > 0 && j + 1 < sz && s[i - 1] == s[j + 1]) {
      i--; // expand dual direction
      j++;
    }
    l = j - i + 1; // what we have fond so far
    if (len < l) {
      len = l;
      where = i;
    }
  }
  char *news = (char *)malloc(sz + 1);
  memcpy(news, s + where, len);
  news[len] = 0;
  return news;
}"
2,C,c.c,c.c,"struct ListNode *addTwoNumbers(struct ListNode *l1, struct ListNode *l2) {
  int carry = 0;
  struct ListNode dummy;
  struct ListNode *p = l1, *prev = &dummy;

  dummy.next = p;
  while (l1 != NULL || l2 != NULL) {
    int sum = 0;
    int last_carry = carry;

    if (l1 != NULL) {
      if (p == NULL) {
        prev->next = l1;
        p = l1;
      }
      sum += l1->val;
      l1 = l1->next;
    }

    if (l2 != NULL) {
      if (p == NULL) {
        prev->next = l2;
        p = l2;
      }
      sum += l2->val;
      l2 = l2->next;
    }

    sum += last_carry;
    carry = sum / 10;
    p->val = sum % 10;
    prev = p;
    p = p->next;
  }

  if (carry) {
    p = malloc(sizeof(*p));
    p->val = carry;
    p->next = NULL;
    prev->next = p;
  }

  return dummy.next;
}"
2,C++,cc.cc,cc.cc,"class Solution {
public:
  struct ListNode *dummy = new ListNode(0);
  ListNode *addTwoNumbers(ListNode *l1, ListNode *l2) {
    int carry = 0;
    struct ListNode *p = l1, *prev = dummy;

    dummy->next = p;
    while (l1 != NULL || l2 != NULL) {
      int sum = 0;
      int last_carry = carry;

      if (l1 != NULL) {
        if (p == NULL) {
          prev->next = l1;
          p = l1;
        }
        sum += l1->val;
        l1 = l1->next;
      }

      if (l2 != NULL) {
        if (p == NULL) {
          prev->next = l2;
          p = l2;
        }
        sum += l2->val;
        l2 = l2->next;
      }

      sum += last_carry;
      carry = sum / 10;
      p->val = sum % 10;
      prev = p;
      p = p->next;
    }

    if (carry) {
      p = new ListNode(0);
      p->val = carry;
      p->next = NULL;
      prev->next = p;
    }

    return dummy->next;
  }
};"
2,Golang,golang.go,golang.go,"func addTwoNumbers(l1 *ListNode, l2 *ListNode) *ListNode {
	var head = &ListNode{Val: 0}
	n1, n2, carry, current := 0, 0, 0, head
	for l1 != nil || l2 != nil || carry != 0 {
		if l1 == nil {
			n1 = 0
		} else {
			n1 = l1.Val
			l1 = l1.Next
		}
		if l2 == nil {
			n2 = 0
		} else {
			n2 = l2.Val
			l2 = l2.Next
		}
		current.Next = &ListNode{Val: (n1 + n2 + carry) % 10}
		current = current.Next
		carry = (n1 + n2 + carry) / 10
	}
	return head.Next
}
"
2,Java,java.java,java.java,"class Solution {
  public ListNode addTwoNumbers(ListNode l1, ListNode l2) {
    ListNode a = l1;
    ListNode b = l2;
    ListNode resultNode = new ListNode(0);
    ListNode finalResult = resultNode;
    int additional = 0;
    while (a != null || b != null) {
      int aVal = a != null ? a.val : 0;
      int bVal = b != null ? b.val : 0;
      int result = additional + aVal + bVal; // 计算两数相加
      int m = result % 10; // 两数相加的余数是下一个链表的值
      additional = result / 10; // 求商：如果商大于0,则下一个链表的值需要加n
      finalResult.next = new ListNode(m);
      finalResult = finalResult.next;
      if (a != null) {
        a = a.next;
      }
      if (b != null) {
        b = b.next;
      }
    }
    if (additional > 0) {
      finalResult.next = new ListNode(additional);
    }
    return resultNode.next;
  }
}
"
2,PHP,php.php,php.php,"class Solution
{

    /**
     * @param ListNode $l1
     * @param ListNode $l2
     * @return ListNode
     */
    public function addTwoNumbers($l1, $l2)
    {
        $obj     = null;
        $prevObj = null;
        $carry   = 0;
        do {
            $v1 = is_object($l1) ? $l1->val : 0;
            $v2 = is_object($l2) ? $l2->val : 0;

            $nodeVal = $v1 + $v2 + $carry;
            if ($nodeVal >= 10) {
                $nodeVal -= 10;
                $carry   = 1;
            } else {
                $carry = 0;
            }

            $tmpObj = new listNode($nodeVal);

            if (empty($obj)) {
                $obj = $tmpObj;
            } else {
                $prevObj->next = $tmpObj;
            }

            $prevObj = $tmpObj;
            $l1      = (is_object($l1) && $l1->next) ? $l1->next : 0;
            $l2      = (is_object($l2) && $l2->next) ? $l2->next : 0;
        } while (is_object($l1) || is_object($l2) || $carry);

        return $obj;
    }
}
"
8,C,c.c,c.c,"int myAtoi(char *str) {
  char *s;
  long n = 0;
  int sign = 0;

  while (*str == ' ' || *str == '\t') {
    str++;
  }

  if (*str == '-') {
    if (isdigit(*++str)) {
      sign = 1;
    } else {
      return 0;
    }
  }

  if (*str == '+') {
    if (isdigit(*++str)) {
      sign = 0;
    } else {
      return 0;
    }
  }

  for (s = str; *s != '\0'; s++) {
    if (isdigit(*s)) {
      int d = *s - '0';
      if (sign) {
        if (-n < (INT_MIN + d) / 10) {
          n = INT_MIN;
          break;
        }
      } else {
        if (n > (INT_MAX - d) / 10) {
          n = INT_MAX;
          break;
        }
      }
      n = n * 10 + d;
    } else {
      break;
    }
  }

  return sign ? -n : n;
}"
6,C,c.c,c.c,"char *convert(char *s, int numRows) {
  int len;
  int i, j, k = 0;
  char *p;
  int step, up;

  if (!s || !*s || numRows == 1) return s;

  len = strlen(s);
  p = malloc((len + 1) * sizeof(char));
  //assert(p);

  step = (numRows - 1) * 2; // max span

  for (i = 0; i < numRows; i++) {
    j = i; // first letter of each row
    up = 1;
    while (j < len) {
      p[k++] = s[j];
      if (i == 0 || i == numRows - 1) {
        j += step; // full span
      } else if (up) {
        j += step - i * 2; // full span - offset
        up = 0;
      } else {
        j += i * 2; // offset
        up = 1;
      }
    }
  }
  p[k] = 0;
  return p;
}"
3,C,c.c,c.c,"int lengthOfLongestSubstring(char *s) {
  int offset[128];
  int max_len = 0;
  int len = 0;

  memset(offset, 0xff, sizeof(offset));
  for (int i = 0; i < strlen(s); i++) {
    if (offset[(int)*(s + i)] == -1) {
      len++;
    } else {
      if (i - offset[(int)*(s + i)] > len) {
        len++;
      } else {
        len = i - offset[(int)*(s + i)];
      }
    }
    if (len > max_len) {
      max_len = len;
    }
    offset[(int)*(s + i)] = i;
  }

  return max_len;
}"
3,Golang,go1.go,go1.go,"func lengthOfLongestSubstring(s string) int {
	max := 0
	n := len(s)
	start := 0
	end := 0
	mp := make(map[string]int, 0)
	if n < 2 {
		return n
	}
	for ; end < n; end++ {
		char := s[end : end+1]
		v, ok := mp[char]
		if ok {
			start = int(math.Max(float64(start), float64(v)))
		}
		max = int(math.Max(float64(max), float64(end-start+1)))
		mp[char] = end + 1
	}
	return max
}
"
3,Golang,go2.go,go2.go,"func lengthOfLongestSubstring(s string) int {
	n := len(s)
	if n < 2 {
		return n
	}
	max := 0
	for i := 0; i < n; i++ {
		mp := make(map[uint8]int)
		mp[s[i]] = 1
		for j := i + 1; j < n; j++ {
			if _, ok := mp[s[j]]; !ok {
				mp[s[j]] = 1
			} else {
				break
			}
		}
		if max < len(mp) {
			max = len(mp)
		}
	}
	return max
}
"
3,Java,java1.java,java1.java,"class Solution {
  public int lengthOfLongestSubstring(String s) {
    int result = 0;
    for (int i = 0; i < s.length(); i++) {
      for (int j = i + 1; j <= s.length(); j++) {
        String substring = s.substring(i, j);
        if (hasRepeat(substring)) {
          break;
        } else if (substring.length() > result) {
          result = substring.length();
        }
      }
    }
    return result;
  }

  private boolean hasRepeat(String substring) {
    Set<Character> charList = new HashSet<>();
    for (int i = 0; i < substring.length(); i++) {
      if (charList.contains(substring.charAt(i))) {
        return true;
      }
      charList.add(substring.charAt(i));
    }
    return false;
  }
}"
3,Java,java2.java,java2.java,"class Solution {
  public int lengthOfLongestSubstring(String s) {
    if (s == null || s.length() == 0) {
      return 0;
    }
    int result = 0;
    int length = 0;
    HashMap<Character, Integer> resultMap = new HashMap<>();
    for (int i = 0; i < s.length(); i++) {
      if (resultMap.containsKey(s.charAt(i))) {
        i = resultMap.get(s.charAt(i));
        resultMap.clear();
        length = 0;
        continue;
      }
      length++;
      resultMap.put(s.charAt(i), i);
      result = Math.max(result, length);
    }
    return result;
  }
}"
3,Java,java3.java,java3.java,"class Solution {
  public int lengthOfLongestSubstring(String s) {
    if (s == null || s.length() == 0) {
      return 0;
    }
    int result = 0;
    int start = 0;
    int length = 0;
    HashMap<Character, Integer> indexMap = new HashMap<>();
    for (int i = 0; i < s.length(); i++) {
      if (indexMap.containsKey(s.charAt(i)) && indexMap.get(s.charAt(i)) >= start) {
        start = indexMap.get(s.charAt(i)) + 1;
      }
      length = i - start + 1;
      indexMap.put(s.charAt(i), i);
      result = Math.max(length, result);
    }
    return result;
  }
}"
3,Java,java4.java,java4.java,"class Solution {
  public int lengthOfLongestSubstring(String s) {
    int result = 0;
    LinkedList<Character> linkedList = new LinkedList<>();
    for (int i = 0; i < s.length(); i++) {
      while (linkedList.contains(s.charAt(i))) {
        linkedList.removeFirst();
      }
      linkedList.add(s.charAt(i));
      result = Math.max(result, linkedList.size());
    }
    return result;
  }
}"
4,C,c.c,c.c,"int cmpfunc(const void *a, const void *b) {
  return (*(signed int *)b > *(signed int *)a) ? 1 : 0;
}

double findMedianSortedArrays(int *nums1, int nums1Size, int *nums2, int nums2Size) {
  int total_length = nums1Size + nums2Size;

  int *merge = (int *)malloc(sizeof(int) * total_length);

  memcpy(merge, nums1, sizeof(int) * nums1Size);
  memcpy(merge + nums1Size, nums2, sizeof(int) * nums2Size);

  qsort(merge, total_length, sizeof(int), cmpfunc);

  double result = 0;

  if (total_length % 2 == 0) {
    result = (*(merge + total_length / 2 - 1) + *(merge + total_length / 2)) / 2.0;
  } else {
    result = *(merge + total_length / 2);
  }

  free(merge);
  return result;
}"
4,C++,cc.cc,cc.cc,"class Solution {
public:
  double findMedianSortedArrays(vector<int> &nums1, vector<int> &nums2) {
    double result = 0;
    nums1.insert(nums1.end(), nums2.begin(), nums2.end());
    sort(nums1.begin(), nums1.end());

    size_t length = nums1.size();
    if (length % 2 == 0) {
      result = (nums1[length / 2 - 1] + nums1[length / 2]) / 2.0;
    } else {
      result = double(nums1[length / 2]);
    }
    return result;
  }
};
"
4,Golang,go1.go,go1.go,"func FindMedianSortedArFrays(nums1 []int, nums2 []int) float64 {
	total := len(nums1) + len(nums2)

	minKey := int(math.Ceil(float64(total)/2 - 1))
	maxKey := total / 2

	i := 0 // nums1 索引
	j := 0 // nums2 索引
	min := 0
	max := 0
	current := 0
	v1 := 0
	v2 := 0
	for k := 0; k < 1; k-- {

		if i < len(nums1) && !math.IsNaN(float64(nums1[i])) {
			v1 = nums1[i]
		} else {
			v1 = nums2[j] + 1
		}

		if j < len(nums2) && !math.IsNaN(float64(nums2[j])) {
			v2 = nums2[j]
		} else {
			fmt.Println(i)
			v2 = nums1[i] + 1
		}
		if v1 > v2 {
			j++
		} else {
			i++
		}

		if current == minKey {
			if v1 > v2 {
				min = v2
			} else {
				min = v1
			}
		}
		if current == maxKey {
			if v1 > v2 {
				max = v2
			} else {
				max = v1
			}
			break
		}
		current++
	}
	return float64(min+max) / 2
}
"
4,Golang,go2.go,go2.go,"func FindMedianSortedArFrays(nums1 []int, nums2 []int) (result float64) {
	var total = make([]int, len(nums1)+len(nums2))
	copy(total, nums1)
	copy(total[len(nums1):], nums2)
	sort.Ints(total)
	var length = len(total)
	if length%2 == 0 {
		result = float64((total[int(length/2-1)] +
			total[int(length/2)]) / 2.0)
	} else {
		result = float64(total[int(length/2)])
	}
	return
}
"
1,C,c.c,c.c,"int *twoSum(int *nums, int numsSize, int target, int *returnSize) {
  *returnSize = 2;

  int *ans = (int *)malloc(sizeof(int) * *returnSize);
  for (int i = 0; i < numsSize; i++) {
    for (int j = i + 1; j < numsSize; j++) {
      if (nums[i] + nums[j] == target) {
        ans[0] = i;
        ans[1] = j;
        return ans;
      }
    }
  }
  return ans;
}"
1,C++,cc.cc,cc.cc,"class Solution {
 public:
  vector<int> twoSum(vector<int> &nums, int target) {
    unordered_map<int, int> umap;
    for (int i = 0; i < nums.size(); i++) {
      if (umap.find(target - nums[i]) != umap.end()) {
        return vector<int> {umap.find(target - nums[i])->second, i};
      }
      umap[nums[i]] = i;
    }
    return vector<int> { -1, -1};
  }
};"
1,Golang,golang.go,golang.go,"func twoSum(nums []int, target int) []int {
	var res = make([]int, 2)
	res[0] = -1
	res[1] = -1

	var length = len(nums)

	if length < 2 {
		return res
	}

	var mp = make(map[int]int, len(nums))

	for i := 0; i < length; i++ {
		v, ok := mp[target-nums[i]]
		if ok {
			res[0] = v
			res[1] = i
			return res
		} else {
			mp[nums[i]] = i
		}
	}
	return res
}
"
1,Java,java.java,java.java,"class Solution {
  public int[] twoSum(int[] nums, int target) {
    Map<Integer, Integer> map = new HashMap<Integer, Integer>();

    for (int i = 0; i < nums.length; ++i) {
      if (map.containsKey(target - nums[i])) {
        return new int[] { map.get(target - nums[i]), i };
      }
      map.put(nums[i], i);
    }
    return new int[] { -1, -1 };
  }
}"
1,Python,python.py,python.py,"

class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        umap = dict()
        for i in range(0, len(nums)):
            if umap.get(target - nums[i]) is not None:
                return [umap.get(target - nums[i]), i]
            umap[nums[i]] = i
        return [-1, -1]
"
1,Rust,rust.rs,rust.rs,"use std::collections::HashMap;
impl Solution {
  pub fn two_sum(nums: Vec<i32>, target: i32) -> Vec<i32> {
    let mut map = HashMap::with_capacity(nums.len());
    for (index, num) in nums.iter().enumerate() {
      match map.get(&(target - num)) {
        None => {
          map.insert(num, index);
        }
        Some(sub_index) => return vec![*sub_index as i32, index as i32],
      }
    }
    vec![]
  }
}"
66,C,c.c,c.c,"int *plusOne(int *digits, int digitsSize, int *returnSize) {
  int carry = 1;
  for (int i = digitsSize - 1; i >= 0; i--) {
    int new_digit = (digits[i] + carry) % 10;
    carry = (digits[i] + carry) / 10;
    digits[i] = new_digit;
  }

  *returnSize = digitsSize;

  int *ans;

  if (carry == 1) {
    ans = (int *)malloc(sizeof(int) * (digitsSize + 1));
    bzero(ans, sizeof(int) * (digitsSize + 1));
    *returnSize = digitsSize + 1;
    ans[0] = 1;
  } else {
    ans = (int *)malloc(sizeof(int) * digitsSize);
    memcpy(ans, digits, sizeof(int) * digitsSize);
  }

  return ans;
}"
66,C++,cpp.cc,cpp.cc,"class Solution {
public:
  vector<int> plusOne(vector<int> &digits) {
    int n = digits.size();
    int carry = 1;
    for (int i = n - 1; i >= 0; i--) {
      int new_digit = (digits[i] + carry) % 10;
      carry = (digits[i] + carry) / 10;
      digits[i] = new_digit;
    }
    if (carry) digits.insert(digits.begin(), 1);
    return digits;
  }
};"
66,Golang,golang.go,golang.go,"func plusOne(digits []int) []int {
	for i := len(digits) - 1; i >= 0; i-- {
		if digits[i] == 9 {
			digits[i] = 0
		} else {
			digits[i] = digits[i] + 1
			break
		}
	}

	if digits[0] == 0 {
		var ans = make([]int, len(digits)+1)
		ans[0] = 1
		return ans
	}
	return digits
}
"
66,Rust,rust1.rs,rust1.rs,"impl Solution {
  pub fn plus_one(digits: Vec<i32>) -> Vec<i32> {
    let mut digits = digits;
    let mut carry = 1;
    for i in (0..digits.len()).rev() {
      let new_digit: i32 = (digits[i] + carry) % 10;
      carry = (digits[i] + carry) / 10;
      digits[i] = new_digit;
    }
    if carry > 0 {
      digits.insert(0, 1);
    }
    digits
  }
}"
15,C,c.c,c.c,"int cmpfunc(const void *a, const void *b) {
  return *(int *)a - *(int *)b;
}

int **threeSum(int *nums, int numsSize, int *returnSize, int **returnColumnSizes) {
  qsort(nums, numsSize, sizeof(int), cmpfunc);
  int **ans = NULL;
  *returnSize = 0;
  *returnColumnSizes = NULL;

  int virtual_size = 165;

  ans = (int **)malloc(sizeof(int *) * virtual_size);
  *returnColumnSizes = (int *)malloc(sizeof(int) * virtual_size);

  for (uint16_t i = 0; i < numsSize; i++) {
    if (nums[i] > 0) {
      return ans;
    }
    if (i > 0 && nums[i] == nums[i - 1]) {
      continue;
    }
    int left = i + 1;
    int right = numsSize - 1;
    while (left < right) {
      int temp = nums[i] + nums[left] + nums[right];
      if (temp > 0) {
        right--;
      } else if (temp < 0) {
        left++;
      } else {
        if (*returnSize >= virtual_size) {
          virtual_size *= 2;
          ans = (int **)realloc(ans, sizeof(int *) * virtual_size);
          *returnColumnSizes = (int *)realloc(*returnColumnSizes, sizeof(int) * virtual_size);
        }
        *(ans + *returnSize) = (int *)malloc(sizeof(int) * 3);
        *(*returnColumnSizes + *returnSize) = 3;
        ans[*returnSize][0] = nums[i];
        ans[*returnSize][1] = nums[left];
        ans[*returnSize][2] = nums[right];
        while (left < right && nums[left] == nums[left + 1]) {
          left++;
        }
        while (left < right && nums[right] == nums[right - 1]) {
          right--;
        }
        left++;
        right--;
        (*returnSize)++;
      }
    }
  }
  ans = (int **)realloc(ans, sizeof(int *) * *returnSize);
  *returnColumnSizes = (int *)realloc(*returnColumnSizes, sizeof(int) * *returnSize);
  return ans;
}"
15,C++,cc.cc,cc.cc,"class Solution {
public:
  vector<vector<int>> threeSum(vector<int> &nums) {
    sort(nums.begin(), nums.end());
    vector<vector<int>> ans;
    for (int i = 0; i < nums.size(); i++) {
      if (nums[i] > 0) {
        return ans;
      }
      if (i > 0 and nums[i] == nums[i - 1]) {
        continue;
      }
      int left = i + 1;
      int right = nums.size() - 1;
      while (left < right) {
        int temp = nums[i] + nums[left] + nums[right];
        if (temp < 0) {
          left++;
        } else if (temp > 0) {
          right--;
        } else {
          ans.push_back({nums[i], nums[left], nums[right]});
          while (left < right && nums[left] == nums[left + 1])
            left++;
          while (left < right && nums[right] == nums[right - 1])
            right--;
          left++;
          right--;
        }
      }
    }
    return ans;
  }
};"
1460,C++,cpp1.cc,cpp1.cc,"class Solution {
public:
  int numberOfSubstrings(string s) {
    int a, b, c, l, ans;
    a = b = c = l = ans = 0;

    for (int r = 0; r < s.size(); r++) {
      if (s[r] == 'a')
        a++;
      if (s[r] == 'b')
        b++;
      if (s[r] == 'c')
        c++;
      while (a > 1 || b > 1 || c > 1) {
        if (s[l] == 'a' && a > 1) {
          a--;
          l++;
        } else if (s[l] == 'b' && b > 1) {
          b--;
          l++;
        } else if (s[l] == 'c' && c > 1) {
          c--;
          l++;
        } else
          break;
      }

      if (a && b && c)
        ans += l + 1;
    }
    return ans;
  }
};
"
53,C,c.c,c.c,"int maxSubArray(int *nums, int numsSize) {
  int pre = 0, maxAns = nums[0];
  for (int i = 0; i < numsSize; i++) {
    pre = fmax(pre + nums[i], nums[i]);
    maxAns = fmax(maxAns, pre);
  }
  return maxAns;
}"
53,C++,cpp.cc,cpp.cc,"class Solution {
public:
  int maxSubArray(vector<int> &nums) {
    int pre = 0, maxAns = nums[0];
    for (const auto &x : nums) {
      pre = max(pre + x, x);
      maxAns = max(maxAns, pre);
    }
    return maxAns;
  }
};"
19,C,c.c,c.c,"static struct ListNode *removeNthFromEnd(struct ListNode *head, int n) {
  if (n == 0) {
    return NULL;
  }

  struct ListNode *p, *prev, dummy;
  dummy.next = head;
  p = prev = &dummy;
  while (n-- > 0) {
    p = p->next;
  }

  while (p->next != NULL) {
    p = p->next;
    prev = prev->next;
  }

  struct ListNode *tmp = prev->next;
  prev->next = tmp->next;
  if (tmp == head) {
    head = tmp->next;
  }
  free(tmp);

  return head;
}"
909,C,c1.c,c1.c,"bool stoneGame(int *piles, int pilesSize) {
  return true;
}"
909,C++,cpp1.cc,cpp1.cc,"class Solution {
public:
  bool stoneGame(vector<int> &piles) {
    return true;
  }
};"
909,Golang,go1.go,go1.go,"func stoneGame(piles []int) bool {
	return true
}
"
909,Java,java1.java,java1.java,"class Solution {
  public boolean stoneGame(int[] piles) {
    return true;
  }
}"
909,JavaScript,js1.js,js1.js,"/**
 * @param {number[]} piles
 * @return {boolean}
 */
var stoneGame = function (piles) {
    return true;
};"
909,Python,python1.py,python1.py,"

class Solution:
  def stoneGame(self, piles: List[int]) -> bool:
    return True
"
909,Rust,rust1.rs,rust1.rs,"impl Solution {
    pub fn stone_game(_piles: Vec<i32>) -> bool {
        true
    }
}"
69,C,c.c,c.c,"int mySqrt(int x) {
  if (x < 2) return x;

  int left = (int)pow(M_E, 0.5 * log(x));
  int right = left + 1;
  return (long)right * right > x ? left : right;
}"
69,C++,cpp.cc,cpp.cc,"class Solution {
public:
  int mySqrt(int x) {
    if (x < 2) return x;

    int left = (int)pow(M_E, 0.5 * log(x));
    int right = left + 1;
    return (long)right * right > x ? left : right;
  }
};"
